torch,cuda,sm,channel
2.3,cu118,50,stable
2.3,cu118,60,stable
2.3,cu118,70,stable
2.3,cu118,75,stable
2.3,cu118,80,stable
2.3,cu118,86,stable
2.3,cu118,89,stable
2.3,cu118,90,stable
2.3,cu121,50,stable
2.3,cu121,60,stable
2.3,cu121,70,stable
2.3,cu121,75,stable
2.3,cu121,80,stable
2.3,cu121,86,stable
2.3,cu121,89,stable
2.3,cu121,90,stable
2.4,cu118,50,stable
2.4,cu118,60,stable
2.4,cu118,70,stable
2.4,cu118,75,stable
2.4,cu118,80,stable
2.4,cu118,86,stable
2.4,cu118,89,stable
2.4,cu118,90,stable
2.4,cu121,50,stable
2.4,cu121,60,stable
2.4,cu121,70,stable
2.4,cu121,75,stable
2.4,cu121,80,stable
2.4,cu121,86,stable
2.4,cu121,89,stable
2.4,cu121,90,stable
2.4,cu124,50,stable
2.4,cu124,60,stable
2.4,cu124,70,stable
2.4,cu124,75,stable
2.4,cu124,80,stable
2.4,cu124,86,stable
2.4,cu124,89,stable
2.4,cu124,90,stable
2.5,cu118,50,stable
2.5,cu118,60,stable
2.5,cu118,70,stable
2.5,cu118,75,stable
2.5,cu118,80,stable
2.5,cu118,86,stable
2.5,cu118,89,stable
2.5,cu118,90,stable
2.5,cu121,50,stable
2.5,cu121,60,stable
2.5,cu121,70,stable
2.5,cu121,75,stable
2.5,cu121,80,stable
2.5,cu121,86,stable
2.5,cu121,89,stable
2.5,cu121,90,stable
2.5,cu124,50,stable
2.5,cu124,60,stable
2.5,cu124,70,stable
2.5,cu124,75,stable
2.5,cu124,80,stable
2.5,cu124,86,stable
2.5,cu124,89,stable
2.5,cu124,90,stable
2.6,cu118,50,stable
2.6,cu118,60,stable
2.6,cu118,70,stable
2.6,cu118,75,stable
2.6,cu118,80,stable
2.6,cu118,86,stable
2.6,cu118,89,stable
2.6,cu118,90,stable
2.6,cu124,50,stable
2.6,cu124,60,stable
2.6,cu124,70,stable
2.6,cu124,75,stable
2.6,cu124,80,stable
2.6,cu124,86,stable
2.6,cu124,89,stable
2.6,cu124,90,stable
2.6,cu126,50,stable
2.6,cu126,60,stable
2.6,cu126,70,stable
2.6,cu126,75,stable
2.6,cu126,80,stable
2.6,cu126,86,stable
2.6,cu126,89,stable
2.6,cu126,90,stable
2.7,cu118,50,stable
2.7,cu118,60,stable
2.7,cu118,70,stable
2.7,cu118,75,stable
2.7,cu118,80,stable
2.7,cu118,86,stable
2.7,cu118,89,stable
2.7,cu118,90,stable
2.7,cu126,50,stable
2.7,cu126,60,stable
2.7,cu126,70,stable
2.7,cu126,75,stable
2.7,cu126,80,stable
2.7,cu126,86,stable
2.7,cu126,89,stable
2.7,cu126,90,stable
2.7,cu128,75,stable
2.7,cu128,80,stable
2.7,cu128,86,stable
2.7,cu128,89,stable
2.7,cu128,90,stable
2.7,cu128,100,stable
2.7,cu128,120,stable
2.8,cu126,50,stable
2.8,cu126,60,stable
2.8,cu126,70,stable
2.8,cu126,75,stable
2.8,cu126,80,stable
2.8,cu126,86,stable
2.8,cu126,89,stable
2.8,cu126,90,stable
2.8,cu128,75,stable
2.8,cu128,80,stable
2.8,cu128,86,stable
2.8,cu128,89,stable
2.8,cu128,90,stable
2.8,cu128,100,stable
2.8,cu128,120,stable
2.8,cu129,75,test
2.8,cu129,80,test
2.8,cu129,86,test
2.8,cu129,89,test
2.8,cu129,90,test
2.8,cu129,100,test
2.8,cu129,103,test
2.8,cu129,120,test
